.\files\Apple___Apple_scab
Number	Total Leaf Area	Percent Leaf Damage	Image name
 65  	     8324      	    581.487266     	1c10ab31-02b9-4008-b66f-9b44d8a9d323___FREC_Scab 3084.JPG
 66  	     1697      	    2095.757219    	1cb869ea-0a4c-47d7-9def-a88c16b72ddc___FREC_Scab 3350.JPG
 67  	     1079      	    3766.172382    	1cdf2779-8cb1-4ae4-be70-b0eeb1abb0f8___FREC_Scab 3370.JPG
 68  	     8181      	    481.334800     	1ceeeee0-40bd-4ac9-8a57-59385bf5df8a___FREC_Scab 3001.JPG
 69  	     1748      	    1897.311213    	1d81b4c1-072d-4cf7-b1ca-ce43f59822d8___FREC_Scab 3406.JPG
 70  	     8013      	    421.589916     	1d9d67e2-5603-4710-ae2b-6cb0b922ae61___FREC_Scab 3122.JPG
 71  	     5344      	    510.909431     	1f6abf22-93fa-48f0-a509-cc3e210f75f0___FREC_Scab 3172.JPG
 72  	     1242      	    1572.624799    	1f97d75c-db85-4344-8687-82ca56454d17___FREC_Scab 3408.JPG
 73  	      814      	    1460.073710    	1f98b949-4df2-45cf-8572-3b4a753be21a___FREC_Scab 2907.JPG
 74  	     1454      	    2156.877579    	201d8b27-5a38-43e5-8065-f7fe039ad781___FREC_Scab 3058.JPG
 75  	     6362      	    594.514304     	20f4f8d1-7527-420b-a90d-e17b9e45549a___FREC_Scab 2997.JPG
 76  	     10310     	    451.726479     	222a9802-f14c-433e-9d18-d0668ed3c279___FREC_Scab 3239.JPG
 77  	     3159      	    495.599873     	22c12d6a-3c17-45be-b53b-f17f1b3f5168___FREC_Scab 3206.JPG
 78  	     1255      	    1655.298805    	233b7aec-ccec-47a3-b5bd-27e154d7a8f7___FREC_Scab 2912.JPG
 79  	     2769      	    850.162514     	23466313-6a2c-46e7-ad89-1f95dd2d3b40___FREC_Scab 3517.JPG
 80  	     6245      	    692.169736     	23576562-df0c-46bb-8c50-1bf03412097f___FREC_Scab 3086.JPG
 81  	     5754      	    516.197428     	23f31e0d-3330-4752-9f83-8aba28c90ccb___FREC_Scab 3178.JPG
 82  	      300      	   10751.000000    	2438c1f0-556e-4575-b382-96e17f908e34___FREC_Scab 3230.JPG
 83  	      785      	    4799.745223    	246c33b0-fac8-4cca-ae8b-17947338b8b2___FREC_Scab 3091.JPG
 84  	     5607      	    538.630284     	24d43ad3-24e6-4236-8ef7-59b268520ca3___FREC_Scab 3533.JPG
 85  	     1749      	    1965.351630    	252087d7-57c9-4ebe-b6c4-840d6c5dfcb1___FREC_Scab 3329.JPG
 86  	     5357      	    842.393130     	258ce9eb-2b67-475b-b09c-0bc83b0987f1___FREC_Scab 3033.JPG
 87  	      689      	    2579.535559    	25aeb397-bc36-4fe5-affe-6b8195d4f282___FREC_Scab 3494.JPG
 88  	      379      	    6921.899736    	268a2ad1-d649-4ec0-add3-61cc8f54f479___FREC_Scab 3235.JPG
 89  	     1297      	    1447.262914    	26a31865-1d42-4bd6-8b67-02cbedfd6f64___FREC_Scab 3516.JPG
 90  	     6753      	    610.410188     	270dd6be-95f4-4fd1-8423-b698663b3f72___FREC_Scab 2954.JPG
 91  	     2824      	    1415.899433    	27338275-3c75-4bbf-8d74-7b90e9d224d3___FREC_Scab 3269.JPG
 92  	     11269     	    414.695181     	276ed34e-9987-4b38-b83b-8626504fc204___FREC_Scab 3050.JPG
 93  	     9458      	    326.781561     	29ab8216-ec38-4efd-9c77-21068fa899a4___FREC_Scab 3241.JPG
 94  	     2735      	    910.457038     	2a59761b-c91c-451c-8e13-d9dc3aff8d29___FREC_Scab 3503.JPG
 95  	     5419      	    587.008673     	2a800c84-902e-4aa8-af13-4e020d6f17dd___FREC_Scab 3124.JPG
 96  	     10295     	    442.049539     	2a97b29d-8a63-47ab-bd5b-c14832a586c8___FREC_Scab 3242.JPG
 97  	     1379      	    1467.077592    	2ae81857-0615-4a6a-8d13-1ace0c62284d___FREC_Scab 2992.JPG
 98  	      780      	    2874.358974    	2bc018ba-3c49-4cf4-9411-a93b7b196f45___FREC_Scab 3326.JPG
 99  	     1750      	    2048.742857    	2bc50b52-0d7d-41a3-be8a-8d070341d87f___FREC_Scab 3476.JPG
 100 	     9090      	    454.884488     	2bfd8ee0-af6b-42fd-ae61-fc5e92ec1b67___FREC_Scab 2988.JPG
 101 	     5913      	    465.060037     	2c648fcd-d637-4559-beaa-9dd6079646fb___FREC_Scab 3213.JPG
 102 	     3271      	    991.073066     	2c7ca7c8-1a6c-4811-b9b0-b054c11a5397___FREC_Scab 3260.JPG
 103 	     1021      	    2257.492654    	2c89ceaf-748c-4371-80d0-d01855f04a92___FREC_Scab 2962.JPG
 104 	     1718      	    862.689173     	2d329823-7ad5-4189-89b7-4bdf24f9c393___FREC_Scab 3507.JPG
 105 	     4605      	    970.141151     	2d4c8a12-a34c-4c8b-b357-271d87532ece___FREC_Scab 3090.JPG
 106 	     19216     	    202.784138     	2d5265d2-be99-4e9f-a085-d309cc01b751___FREC_Scab 3023.JPG
 107 	      238      	   15522.689076    	2dd8b8f8-46b0-4bc6-b817-ea7163f4b28b___FREC_Scab 3473.JPG
 108 	     6838      	    422.097104     	2e264ee0-7679-4ad2-a19a-1ac4d2e84079___FREC_Scab 2984.JPG
 109 	     2635      	    1104.895636    	2f1e68c0-c059-46fd-bbf3-f160817abdc3___FREC_Scab 3535.JPG
 110 	     1815      	    394.435262     	2f668a95-80ab-40ac-98ef-657bd85b668b___FREC_Scab 3247.JPG
 111 	     6314      	    707.665505     	30111fee-0c22-4ca4-aeb4-ac14a9a5d651___FREC_Scab 3097.JPG
 112 	     1129      	    1342.958370    	320dff9e-6d59-4bec-9e7c-930444343e3b___FREC_Scab 3398.JPG
 113 	     9287      	    433.627652     	321c7135-853f-444d-9952-a893e660d966___FREC_Scab 2958.JPG
 114 	     12114     	    327.769523     	32454154-edbf-464f-8097-e99a3d9a15af___FREC_Scab 2936.JPG
 115 	      933      	    2478.135048    	32550bbb-cdf1-4805-8167-27dc5a8e87d2___FREC_Scab 3195.JPG
 116 	     3269      	    1177.516060    	334f8e1a-5989-476e-88f4-8a45c304e12c___FREC_Scab 3035.JPG
 117 	     1203      	    2451.205320    	33ebf0dd-f971-4f11-aa93-45df7d55a9ea___FREC_Scab 3182.JPG
 118 	     5215      	    570.642378     	34c2823b-d1c5-4bd8-a5a7-74bdef959e10___FREC_Scab 3484.JPG
 119 	     6390      	    467.777778     	34c37353-8429-499e-bd38-ac7501f79e90___FREC_Scab 3501.JPG
 120 	     3229      	    598.575410     	3523d2d8-0da9-4b83-b09d-21bd96860a3d___FREC_Scab 3499.JPG
 121 	      430      	    3347.674419    	352a5659-3552-4e94-8333-c3715d38cc27___FREC_Scab 3049.JPG
 122 	     1134      	    3574.691358    	35694cb9-efe9-441a-a810-13e065de7925___FREC_Scab 3320.JPG
 123 	     4439      	    502.365398     	35fde58e-46ea-4d1b-9580-ead7a2d0cb3b___FREC_Scab 2952.JPG
 124 	      905      	    4566.077348    	3636b2d7-b888-437b-b4e3-a8af4bb62763___FREC_Scab 3148.JPG
 125 	     1914      	    2521.995820    	3652fd23-ba4c-4958-8db8-3aff8f614dfd___FREC_Scab 3377.JPG
 126 	      392      	    9046.938776    	36d99a07-4a43-4416-b204-6886f71d5039___FREC_Scab 3294.JPG
 127 	     4338      	    1042.761641    	37659856-0fc8-430b-871a-af4f0b557e49___FREC_Scab 3081.JPG
 128 	     3460      	    940.751445     	376aaef3-8649-43aa-89f8-166bd349a3d3___FREC_Scab 3064.JPG
 129 	     1222      	    3387.479542    	38e76f0a-63cb-460a-b0fa-f20e561dc2c0___FREC_Scab 3481.JPG
 130 	     14953     	    356.965157     	3bf2f5f8-4578-405a-88c6-c5338620a078___FREC_Scab 3059.JPG
 131 	      590      	    4853.898305    	3c27bbd7-b305-4ab0-8a85-5061363cf632___FREC_Scab 3183.JPG
 132 	     5660      	    631.431095     	3c2f46e3-9f96-4912-a9d5-7a046aa6a1b2___FREC_Scab 2967.JPG
 133 	     4296      	    922.323091     	3d34bd1c-fae9-446a-a629-147b5e8d5d6b___FREC_Scab 3103.JPG
 134 	     18379     	    247.695740     	3dd3d59c-be2a-4f29-8fa1-d4f37d7fb894___FREC_Scab 3412.JPG
 135 	     4409      	    584.350193     	3eb26abb-a392-4cc4-9be2-d5e4bb8f3660___FREC_Scab 2969.JPG
 136 	     2817      	    1134.362797    	3f65aa69-06c9-423f-ac7a-e2ab6edf63ca___FREC_Scab 3360.JPG
 137 	     4426      	    449.005874     	4098b029-fcda-4d2f-9703-c16e6e5fae49___FREC_Scab 3455.JPG
 138 	     4660      	    817.553648     	40a5e87c-ee32-4d67-9b28-926e94638a1d___FREC_Scab 3251.JPG
 139 	     7432      	    476.977933     	40d60cf0-1311-40c7-9e7e-579e74c92027___FREC_Scab 3136.JPG
 140 	     6812      	    525.205520     	40df2c3f-673e-4da8-a172-65fd5a656c1d___FREC_Scab 2957.JPG
 141 	     10280     	    401.118677     	4147e694-ce1f-47ea-b641-899e60ef3f3a___FREC_Scab 3278.JPG
 142 	      272      	   10870.588235    	4151028c-c8bc-4394-b4a7-aff414864c15___FREC_Scab 3418.JPG
 143 	     1061      	    3727.521206    	419c16b2-13aa-485b-8342-3760707e21f9___FREC_Scab 3285.JPG
 144 	     9297      	    417.672367     	41c2bb79-44fb-48f4-864f-eec35e3442f5___FREC_Scab 2931.JPG
 145 	      825      	    5146.060606    	41c30a63-9e26-4ced-8110-038a2e36b095___FREC_Scab 3298.JPG
 146 	     10929     	    335.721475     	43712608-0fa2-4be2-91a0-242aca469cb4___FREC_Scab 2985.JPG
 147 	     3735      	    669.531459     	43f68711-decd-4831-bf5c-99fa40abe339___FREC_Scab 3413.JPG
 148 	     14864     	    323.513186     	4442b558-4db4-4de3-82c3-7524b59bb315___FREC_Scab 2961.JPG
 149 	     4381      	    704.382561     	444c4ed0-3bee-4059-870a-a15a00f0e37e___FREC_Scab 3067.JPG
 150 	     1454      	    2181.843191    	4495850d-4478-4680-a657-c082a8ea69ed___FREC_Scab 3534.JPG
 151 	     9798      	    371.933048     	44b52928-c5dd-48f4-b2c8-b128032c49dd___FREC_Scab 3518.JPG
 152 	     2817      	    1094.284700    	44d28651-473c-4e9b-81ec-212893669fba___FREC_Scab 3477.JPG
 153 	     2961      	    992.772712     	44dbb7a4-4c41-4d4c-9e34-9e665a35926c___FREC_Scab 3438.JPG
 154 	      711      	    5287.904360    	44dcf367-d162-407e-8ea8-e363ab8ff5c4___FREC_Scab 3282.JPG
 155 	      867      	    5224.567474    	45000608-507a-46f5-be52-3ee24d0fb47d___FREC_Scab 3113.JPG
 156 	     3369      	    1212.852478    	4512edee-9d3b-451e-845d-86666feebe99___FREC_Scab 3328.JPG
 157 	     3898      	    1183.760903    	453b09e4-6469-47f9-8599-f87e1d6eddf3___FREC_Scab 3048.JPG
 158 	     6127      	    447.543659     	45512c84-e453-459c-b12f-1d08ce44001b___FREC_Scab 3072.JPG
 159 	     2504      	    1335.742812    	4555c009-6c33-4913-accc-fd1a8355646b___FREC_Scab 2929.JPG
 160 	      766      	    3680.548303    	45a699f2-a02d-4f1f-b628-6d445c58a595___FREC_Scab 3291.JPG
 161 	      969      	    3357.688338    	45e34a1f-1d46-42e8-921d-c82f2c9e7cd1___FREC_Scab 3228.JPG
 162 	     5460      	    643.296703     	45ee8aaa-1a08-46ed-8ac8-bba8e40c61d6___FREC_Scab 2986.JPG
 163 	     3328      	    1178.094952    	461eeeb9-5bf1-4c0a-a7dd-6967917b4537___FREC_Scab 3098.JPG
 164 	     1074      	    3463.407821    	462f0ef8-5460-4f5c-8935-62a204d3fc08___FREC_Scab 2924.JPG
 165 	     4764      	    721.704450     	470bece4-7eb2-4ec1-917a-278559afe463___FREC_Scab 3250.JPG
 166 	     4389      	    501.458191     	474cf33e-0289-4014-bb8a-8004b87b471b___FREC_Scab 3425.JPG
 167 	     9130      	    522.749179     	47b3d8bb-2461-4593-a0fe-a6adf0925a9a___FREC_Scab 2974.JPG
 168 	     2017      	    1949.181953    	47ebb7a4-a8e0-4a57-95e5-dd8e9d1235a2___FREC_Scab 3147.JPG
 169 	     8765      	    278.026241     	48420763-bd18-49b4-9ab4-69319b5733f2___FREC_Scab 3201.JPG
 170 	     11529     	    286.616359     	48dcb319-8b65-4bac-bba4-aa8ffa8abdd0___FREC_Scab 3519.JPG
 171 	     3402      	    705.673133     	48e62e54-d02a-41bb-8486-234408706e69___FREC_Scab 3190.JPG
 172 	     1735      	    2432.046110    	4940cd87-695e-4f4d-8a45-5490812447cc___FREC_Scab 3044.JPG
 173 	     2483      	    1202.939992    	495816a8-4d85-47a5-9aca-a09f3f30a068___FREC_Scab 3443.JPG
 174 	     29190     	    106.940733     	4a50158d-dcd0-4a1f-885e-2d9b16a4e344___FREC_Scab 3205.JPG
 175 	     2701      	    1065.420215    	4a7f12ff-a785-4d12-8943-f1644789a21b___FREC_Scab 2916.JPG
 176 	     4044      	    1080.489614    	4abca5eb-2376-4551-be42-25bbb5400fc7___FREC_Scab 3268.JPG
 177 	     2006      	    1743.419741    	4b4b59d5-3c6d-4ce5-b349-616fecb850ff___FREC_Scab 3447.JPG
 178 	     1248      	    2153.365385    	4b51cc5d-4122-451b-8598-81ea29dc7cd4___FREC_Scab 3290.JPG
 179 	     2885      	    1365.892548    	4b7c40cd-b145-4945-b649-3576a1d898dc___FREC_Scab 3343.JPG
 180 	     1168      	    2550.856164    	4bb38e05-1d5a-40c6-8638-10db134db682___FREC_Scab 3390.JPG
 181 	     6295      	    697.744241     	4be9d1d9-2170-4856-a81e-e53e7aa5dbf7___FREC_Scab 3082.JPG
 182 	     6016      	    707.330452     	4d02c4a9-4b0d-4b4b-9695-91f08228ee53___FREC_Scab 3274.JPG
 183 	     1740      	    1964.540230    	4d3bcf15-cc49-4189-82e1-780efdf625a8___FREC_Scab 3254.JPG
 184 	     4337      	    598.870187     	4e2c27a7-4be1-4c86-a07b-bc2a64c1bff9___FREC_Scab 3018.JPG
 185 	     4802      	    552.332362     	4e770559-e332-470e-aae3-c7ad0399dd20___FREC_Scab 3513.JPG
 186 	     1813      	    1934.528406    	50dca3b7-fe83-426b-9fa7-a4e80df022aa___FREC_Scab 3488.JPG
 187 	     1109      	    2456.266907    	51530f6a-2bee-4008-8e77-eeda281e9195___FREC_Scab 3209.JPG
 188 	     3096      	    835.497416     	517d0958-b10e-4260-a736-7a4bbb9706c0___FREC_Scab 3497.JPG
 189 	      356      	    5293.258427    	518ab601-3736-4d3b-9770-a0efba601c0e___FREC_Scab 3231.JPG
 190 	     9481      	    306.528847     	51929389-451f-4c78-a66b-b644e82a33b6___FREC_Scab 3528.JPG
 191 	     8615      	    550.644225     	52d5723a-b498-4759-89a1-a7d815689716___FREC_Scab 3034.JPG
 192 	     1077      	    3233.890436    	53035d10-9f2b-4c90-ab75-dfde2a9af82f___FREC_Scab 2915.JPG
 193 	     2236      	    1587.075134    	5345e6fb-1829-457f-ac86-6683d762c9ea___FREC_Scab 3482.JPG
 194 	     1537      	    1429.798308    	536ce9e9-6c98-42c6-9447-f38073b3e9da___FREC_Scab 3222.JPG
 195 	     2522      	    725.495638     	537873ed-fc63-4df3-bb6a-a5bf4c742619___FREC_Scab 3505.JPG
 196 	     8203      	    519.870779     	53c67c39-c05f-4b2e-939e-23d44a32efac___FREC_Scab 3087.JPG
 197 	     6804      	    661.493239     	53d37faf-7a68-4fe2-ac1f-5438637742d4___FREC_Scab 3080.JPG
 198 	     4037      	    1070.076790    	53fe6519-da0a-4183-80d6-a18828a33223___FREC_Scab 3283.JPG
 199 	     12579     	    325.335877     	550b0aab-e777-4942-a186-fc910e0fa89b___FREC_Scab 3253.JPG
 200 	     3236      	    842.274413     	5581f206-7305-4430-be5f-8de62689fb70___FREC_Scab 2918.JPG
 201 	      900      	    3773.222222    	55cd6283-a5b1-47e9-b061-c7692c8ba781___FREC_Scab 3460.JPG
 202 	     3224      	    1050.341191    	563a51b6-2342-4922-b76d-0a6bb69a11f9___FREC_Scab 3107.JPG
 203 	      491      	    4778.411405    	5893bd90-486f-42cf-9fcd-a4dc1e208246___FREC_Scab 3236.JPG
 204 	     5997      	    794.747374     	5990ed9f-ffe8-4622-bd26-e536ea5e1109___FREC_Scab 3042.JPG
 205 	     5830      	    766.878216     	59c9641b-c84e-4595-8f2c-13b5f914aa4a___FREC_Scab 3060.JPG
 206 	     12067     	    399.013839     	5a178d63-372d-48c4-adb8-d616130ba3f0___FREC_Scab 3104.JPG
 207 	      637      	    4064.678179    	5a923f64-b733-47a7-90f5-2786cd9c85ce___FREC_Scab 3234.JPG
 208 	     1241      	    2256.325544    	5b74fa7a-008d-42b2-b8c0-07bd4642153a___FREC_Scab 3162.JPG
 209 	     6943      	    609.088290     	5c0af4dd-f185-4fc9-ae2c-a697a235d660___FREC_Scab 2955.JPG
 210 	     1612      	    1743.734491    	5cd3df15-31a2-4076-9d1a-8735fa1dccdf___FREC_Scab 3410.JPG
 211 	     5179      	    476.095771     	5d398d0d-256d-4de5-8dcd-f3b455da2b76___FREC_Scab 3522.JPG
 212 	     1961      	    1594.900561    	5dbcba87-93fa-4c21-8abd-bc20c93b359f___FREC_Scab 3258.JPG
 213 	     20786     	    102.910613     	5e96dd82-f2d2-4a19-a9cd-46165d6623f9___FREC_Scab 3218.JPG
 214 	     9974      	    444.124724     	5eb564a6-cd74-4c90-95d9-611a6301369d___FREC_Scab 3099.JPG
 215 	     2534      	    980.702447     	5f312356-04d0-44d0-ba06-4e3c33907b03___FREC_Scab 3349.JPG
 216 	     17652     	    283.548606     	5fcb921d-3329-443c-a708-37c3943f5493___FREC_Scab 2987.JPG
 217 	     6388      	    610.926738     	60226bd7-db11-4d7e-ba29-a5136f6bebe0___FREC_Scab 3470.JPG
 218 	      924      	    3363.311688    	60f3ba82-caf1-4cf7-998c-b0005458fa38___FREC_Scab 3226.JPG
 219 	     10229     	    481.122299     	6105e3bd-339c-47bd-9764-4ba9b7059a6b___FREC_Scab 3096.JPG
 220 	     1738      	    2151.898734    	61373045-a7a5-4213-94fb-7d81638d5561___FREC_Scab 3430.JPG
 221 	     3615      	    1091.369295    	61643f40-eb9a-4c6b-8de5-c12319fc7680___FREC_Scab 3114.JPG
 222 	     1790      	    1273.519553    	6171eecd-e385-4010-b9cd-5982f4674fee___FREC_Scab 2911.JPG
 223 	     2230      	    794.573991     	623fb084-dbac-42fb-b636-7cfcb89ba9f6___FREC_Scab 3437.JPG
 224 	      908      	    3122.246696    	62c3478f-3ab0-48df-962f-9d7782ec364d___FREC_Scab 2925.JPG
 225 	     9761      	    483.720930     	62f548e4-13e0-4e62-bcbc-2bc2c68251f3___FREC_Scab 3273.JPG
 226 	     5612      	    523.235923     	6344cfa8-2c26-4498-b366-817d56285212___FREC_Scab 2964.JPG
 227 	     1791      	    1955.164712    	63a29431-0e93-4e5d-b28d-3956edd10d01___FREC_Scab 3197.JPG
 228 	      919      	    3596.409140    	63cf5c0e-0a65-4261-9034-ba75466ee918___FREC_Scab 3385.JPG
 229 	     1672      	    1966.208134    	63e1d796-f00e-4c24-9871-2eae6f9c9ced___FREC_Scab 3078.JPG
 230 	      764      	    5183.246073    	64863bd8-baca-47b6-b07b-516df2659919___FREC_Scab 3149.JPG
 231 	     1250      	    3007.680000    	64e20068-6685-4a30-a812-fd817117d628___FREC_Scab 3485.JPG
 232 	     3802      	    1089.715939    	650f4395-7428-404a-b65c-8fd36f204dd6___FREC_Scab 3111.JPG
 233 	     4869      	    582.439926     	656265b3-9f9a-4a20-83f5-e5d6be938dcd___FREC_Scab 3454.JPG
 234 	      859      	    4154.249127    	659a6491-b20d-4ff6-a3be-243266b4df0c___FREC_Scab 3155.JPG
 235 	     9997      	    300.980294     	65c52553-6152-46d4-a576-3ef4984a6ad4___FREC_Scab 3524.JPG
 236 	     1590      	    2615.597484    	6639559d-7af6-40b0-9677-a8dcfe036435___FREC_Scab 3342.JPG
 237 	     5504      	    563.935320     	663ad178-6346-4b89-8074-6655f1be1578___FREC_Scab 3500.JPG
 238 	     18137     	    129.922258     	6643566f-d980-4bdb-88d7-4d3ab3c771fa___FREC_Scab 3038.JPG
