.\files\Cherry_(including_sour)___Powdery_mildew
Number	Total Leaf Area	Percent Leaf Damage	Image name
 29  	     36742     	     3.448370      	0711a85e-1e8f-47a3-a9ce-841af3f77544___FREC_Pwd.M 0497.JPG
 30  	     13546     	     79.521630     	073a2d5a-9cae-4afc-8d96-2f8a969e4b90___FREC_Pwd.M 5103.JPG
 31  	     29857     	     11.983789     	078c2573-e637-4aad-b806-abb59d784132___FREC_Pwd.M 4784.JPG
 32  	     28835     	     7.747529      	07a5e560-43ac-4141-89c8-562824bb978c___FREC_Pwd.M 4975.JPG
 33  	     34024     	     11.580061     	07f63d50-9030-4ae9-91a8-19e1120eb2ab___FREC_Pwd.M 0432.JPG
 34  	     32131     	     9.965454      	080a25a5-9b62-4fa7-b7fe-44fef2750e0c___FREC_Pwd.M 4673.JPG
 35  	     35086     	     31.448441     	081459be-800b-428c-a45e-3431c10fab63___FREC_Pwd.M 5140.JPG
 36  	     28186     	     6.102320      	085f167e-2fef-46e1-8518-ca4e555b59a3___FREC_Pwd.M 4488.JPG
 37  	     28788     	     6.433236      	0862d549-133d-499f-b847-446e09de2362___FREC_Pwd.M 4631.JPG
 38  	     10894     	     77.372866     	093d5f5b-f724-457e-b354-7f74b07cba64___FREC_Pwd.M 5078.JPG
 39  	     34619     	     16.167423     	095db5eb-0b4e-4344-b3e9-f3f37a97ac24___FREC_Pwd.M 0421.JPG
 40  	     35416     	     5.452338      	0963eabe-73b2-429d-969a-6e8392f2e424___FREC_Pwd.M 4769.JPG
 41  	     23083     	     15.058701     	096c6145-3976-48f3-8d14-54b16af6975f___FREC_Pwd.M 5153.JPG
 42  	     22645     	     62.464120     	09967a6c-dd12-49ff-8ffd-0124677aa228___FREC_Pwd.M 5122.JPG
 43  	     7381      	     70.518900     	09b6438f-aba3-49b9-a4ae-06e6e24a2dd8___FREC_Pwd.M 5063.JPG
 44  	     34194     	     20.974440     	09c9fc63-9268-4e70-97d5-c1384402fe0a___FREC_Pwd.M 4552.JPG
 45  	     32810     	     13.523316     	0a283423-3a6d-43a4-92e5-267c8153ca45___FREC_Pwd.M 4921.JPG
 46  	     36375     	     14.853608     	0a5aacba-0363-4b71-9beb-30183982d415___FREC_Pwd.M 4919.JPG
 47  	     37509     	     2.642033      	0ab4bd76-19fb-4372-9ac0-9582843c4008___FREC_Pwd.M 0263.JPG
 48  	     24788     	     8.040181      	0ac12d2d-a98c-4e25-b715-94e7579a98f1___FREC_Pwd.M 4887.JPG
 49  	     24912     	     14.944605     	0af0e545-bc47-414c-9fd8-89f6c6fc15c9___FREC_Pwd.M 4870.JPG
 50  	     31828     	     14.191906     	0b1da03f-3c6e-4977-96b7-6460433168b8___FREC_Pwd.M 5137.JPG
 51  	     26724     	     6.690615      	0b6b54b6-08ee-4f0c-89d9-b4d184f9decb___FREC_Pwd.M 4981.JPG
 52  	     28958     	     24.286898     	0b6b9fbc-9c62-4be9-bfc2-ff3126de6458___FREC_Pwd.M 0459.JPG
 53  	     33609     	     4.028683      	0be76485-a2bd-4f71-9735-ccec7d440de9___FREC_Pwd.M 0295.JPG
 54  	     8870      	     58.275085     	0c22dfef-7413-4f46-b949-903d238678a3___FREC_Pwd.M 5094.JPG
 55  	     16838     	     74.456586     	0c477c6e-29a6-44a1-8c99-6f19f864f73e___FREC_Pwd.M 5112.JPG
 56  	     26177     	     12.763113     	0ceb54ca-c9c1-48fb-9b8c-eb8afaefc378___FREC_Pwd.M 4698.JPG
 57  	     37752     	     20.854524     	0d20bb6d-798a-4c82-8aea-8d64bd1a086b___FREC_Pwd.M 4761.JPG
 58  	     34514     	     10.824593     	0df55dba-60e0-44e6-b64a-1f4d9a1377fd___FREC_Pwd.M 0527.JPG
 59  	     35225     	     5.819730      	0e1bd946-37ee-40bb-adf0-105d7b55a627___FREC_Pwd.M 0509.JPG
 60  	     28851     	     15.011611     	0e379908-305b-45c0-80c2-279bb33f1cbb___FREC_Pwd.M 4979.JPG
 61  	     32695     	     4.110720      	0e95f40f-89aa-40b2-86a6-8e82b7d05bfc___FREC_Pwd.M 0297.JPG
 62  	     32727     	     6.810890      	0fe7c76c-cc34-4b75-b254-45c62cbab52a___FREC_Pwd.M 4783.JPG
 63  	     32452     	     6.166030      	10327e24-a50e-4a26-a9e6-5e0377aec73b___FREC_Pwd.M 0298.JPG
 64  	     33130     	     19.661938     	105aa4f9-1ff7-43a4-b350-d1f7916cdc6f___FREC_Pwd.M 4963.JPG
 65  	     40169     	     7.911574      	10729db2-3c76-406c-921a-90efaac37016___FREC_Pwd.M 0293.JPG
 66  	     29085     	     5.133230      	10defdf7-7522-4d15-b65a-b6477e950b04___FREC_Pwd.M 4971.JPG
 67  	     28894     	     21.045892     	11134918-12d8-465d-a7a3-20f0b3966979___FREC_Pwd.M 4957.JPG
 68  	     33262     	     15.419999     	112567fd-5046-4328-80f1-f33e01f76cbf___FREC_Pwd.M 5038.JPG
 69  	     29122     	     12.722340     	11257939-ac71-4448-a9b1-939c2200a3a5___FREC_Pwd.M 4682.JPG
 70  	     35262     	     3.590267      	11486ca3-39fe-4ff3-8474-de8d579ededf___FREC_Pwd.M 0359.JPG
 71  	     32466     	     13.275427     	118a7aef-6492-4375-b41d-d62680433797___FREC_Pwd.M 4863.JPG
 72  	     34862     	     3.556881      	118ecd9c-5536-467e-bfe5-c11289a73b07___FREC_Pwd.M 4556.JPG
 73  	     34639     	     12.604290     	118fc556-d623-4ac9-95e3-e42052930df4___FREC_Pwd.M 5040.JPG
 74  	     33659     	     19.569803     	119ee0ba-5aec-455d-9ce7-cfc7dae1b39d___FREC_Pwd.M 4542.JPG
 75  	     23438     	     16.793242     	11afdbd5-eecf-4f56-a1a7-a63ce9aa3a3a___FREC_Pwd.M 5032.JPG
 76  	     30650     	     4.525285      	11c4276a-f3a7-4a30-ab68-a3ec4d05cab5___FREC_Pwd.M 0369.JPG
 77  	     35198     	     4.693448      	11d570e7-a7d3-4f03-bb46-6b83b97faf43___FREC_Pwd.M 4496.JPG
 78  	     36530     	     5.609088      	12c0e3a2-5b29-4254-afaa-14a5331d04b0___FREC_Pwd.M 0550.JPG
 79  	     13767     	     71.380838     	13bd9e38-0cc4-4da1-83f5-43fced305bdf___FREC_Pwd.M 5075.JPG
 80  	     33136     	     17.325567     	13c13e29-d8eb-4013-9cda-674e92b8d4b4___FREC_Pwd.M 5006.JPG
 81  	     34098     	     3.448883      	13cd1180-f191-4603-9c1a-02ebec65f2c1___FREC_Pwd.M 4561.JPG
 82  	     34539     	     9.757086      	13dd1b68-a54b-465f-aee5-5d1a30109786___FREC_Pwd.M 0244.JPG
 83  	     34380     	     7.705061      	13de61b0-1cf6-4fc1-98fa-ee1ad6a81455___FREC_Pwd.M 4781.JPG
 84  	     25849     	     23.203992     	13e496f2-bbec-4238-b143-a5a607d1e86d___FREC_Pwd.M 4726.JPG
 85  	     9921      	     79.447636     	1428d87f-71ad-4dca-85b2-fa91aecaaa1d___FREC_Pwd.M 5082.JPG
 86  	     24899     	     15.101008     	14990ce5-7f83-4a3e-b9ae-23d4db64213e___FREC_Pwd.M 4530.JPG
 87  	     34651     	     5.722779      	149ff7bd-8f36-4991-9c7b-e07e56e702ce___FREC_Pwd.M 4934.JPG
 88  	     19776     	     11.453277     	14a8011a-830d-4c51-a502-52e6873b0d7e___FREC_Pwd.M 4723.JPG
 89  	     8899      	     63.377908     	15042e84-a171-479d-adb4-18c579b6a211___FREC_Pwd.M 5095.JPG
 90  	     33753     	     6.686813      	15679d43-c95a-4ca4-9189-e08d6b5afbfa___FREC_Pwd.M 0309.JPG
 91  	     22578     	     19.634157     	165aba95-4e37-4a37-90dd-493b2a5ca418___FREC_Pwd.M 4846.JPG
 92  	     34471     	     16.152708     	167d6c02-d49c-4571-b9b8-6d77be09dfb4___FREC_Pwd.M 0256.JPG
 93  	     34033     	     17.644639     	16842219-4e88-460a-bdf0-36bea112a8b6___FREC_Pwd.M 0343.JPG
 94  	     29397     	     11.232439     	16ad247c-119d-421b-82ed-cca95da6b5e1___FREC_Pwd.M 4494.JPG
 95  	     37533     	     5.238057      	17079025-3a59-46d4-83f2-ccff1c099bee___FREC_Pwd.M 0513.JPG
 96  	     36289     	     2.719832      	17512756-a606-4ea5-9443-aae374a46e86___FREC_Pwd.M 0504.JPG
 97  	     36638     	     2.898630      	176d6faf-285c-4bf0-a643-cdfa9b4c741d___FREC_Pwd.M 0348.JPG
 98  	     30997     	     13.949737     	177ebecc-dcdc-4d9f-8949-cb47b4473730___FREC_Pwd.M 4709.JPG
 99  	     33403     	     2.553663      	17a1b5f6-cd54-4c25-b9b5-23e098ac16d0___FREC_Pwd.M 0542.JPG
 100 	     21818     	     5.174626      	1816815c-24b3-4da2-bc43-61f8a9a93e2d___FREC_Pwd.M 4937.JPG
 101 	     30140     	     15.026543     	182a4f7e-026f-4f73-a3a6-3345b9f82840___FREC_Pwd.M 4691.JPG
 102 	     28319     	     21.497934     	1877b54d-3240-4f43-a441-fb3a50514b5b___FREC_Pwd.M 4876.JPG
 103 	     22954     	     9.444977      	1935522e-77d1-4fc2-a84f-5f32835cf0d0___FREC_Pwd.M 4792.JPG
 104 	     25012     	     17.151767     	1a64abff-82d4-45dc-b984-f1a5e6a5229e___FREC_Pwd.M 4952.JPG
 105 	     29974     	     19.563622     	1a6892ee-0f34-475b-b11b-5fc26de6b6d6___FREC_Pwd.M 5041.JPG
 106 	     18234     	     70.845673     	1aa7235d-9c4e-47c1-9a38-20f7ff3022df___FREC_Pwd.M 5123.JPG
 107 	     25678     	     6.811278      	1bbbffe8-ebdd-497c-b8ed-d90ad1a901e8___FREC_Pwd.M 4755.JPG
 108 	     30447     	     5.593326      	1bfcf3d6-6103-4e03-acc5-a19127a4d60e___FREC_Pwd.M 0494.JPG
 109 	     31382     	     11.449238     	1c0ef846-0a17-4c88-b0c2-11eea5a40378___FREC_Pwd.M 0525.JPG
 110 	     35859     	     16.280432     	1c129f29-63c1-4d17-8df9-191551142f0b___FREC_Pwd.M 4910.JPG
 111 	     33058     	     2.489564      	1c2c7320-bf17-4245-a488-79aa47964c61___FREC_Pwd.M 0447.JPG
 112 	     28767     	     16.355546     	1ca9be51-dea4-4075-8907-e583f85254b2___FREC_Pwd.M 4850.JPG
 113 	     34108     	     7.464524      	1cc8262f-97fa-4259-9c87-d2abd7b284a2___FREC_Pwd.M 0443.JPG
 114 	     30246     	     16.021953     	1cfdbaaf-526b-45df-a078-758fd4f5c1f3___FREC_Pwd.M 4943.JPG
 115 	     36825     	     2.791582      	1d792544-0c6e-4d7c-b61f-a4a9e034e630___FREC_Pwd.M 0358.JPG
 116 	     32737     	     4.322326      	1d8075d8-202f-44a6-821d-a596eb480c5c___FREC_Pwd.M 4576.JPG
 117 	     29869     	     18.684924     	1d8a567d-a66b-4d8e-8505-0dc919534d38___FREC_Pwd.M 0402.JPG
 118 	     38963     	     19.361959     	1d9a02a1-60f6-430f-aef2-5db080ad7f32___FREC_Pwd.M 4993.JPG
 119 	     10275     	     79.192214     	1e223698-b6c1-4c4d-8762-240c0435ce09___FREC_Pwd.M 5100.JPG
 120 	     32068     	     4.758638      	1e41d6af-63c2-47c2-8a71-f41e558eadbf___FREC_Pwd.M 4557.JPG
 121 	     24722     	     14.938112     	1e5a88c6-d50c-4e12-8e9a-93c69595143e___FREC_Pwd.M 4858.JPG
 122 	     34260     	     4.486281      	1e6e1d27-5a7d-4f2a-ad97-9cc632136ea9___FREC_Pwd.M 0578.JPG
 123 	     9056      	     36.296378     	1e9cbbdb-4760-4218-881c-9ef0c25e396c___FREC_Pwd.M 5054.JPG
 124 	     24093     	     18.934960     	1ec4000c-0a5a-4a9c-8af8-986421967119___FREC_Pwd.M 4529.JPG
 125 	     32907     	     3.196888      	1ed7d523-d881-4db0-8323-8bed7bf48696___FREC_Pwd.M 0306.JPG
 126 	     32805     	     10.236244     	1ef6c65c-a1d5-48a0-8252-31cddc3eda45___FREC_Pwd.M 0581.JPG
 127 	     31869     	     3.655590      	1f58631e-fd2c-4a0f-8cea-bc8a9feee0eb___FREC_Pwd.M 0285.JPG
 128 	     34459     	     7.646769      	2030c843-fee8-4b7d-b784-faac863a658f___FREC_Pwd.M 4606.JPG
 129 	     32581     	     6.301219      	207ffec3-0692-474d-bee1-8cde0affb7db___FREC_Pwd.M 0496.JPG
 130 	     30562     	     7.800537      	2098320d-1c84-4513-9deb-1b95a48b4a73___FREC_Pwd.M 0243.JPG
 131 	     28667     	     6.076674      	20a0fb52-b873-433d-9969-78c1a8d9d232___FREC_Pwd.M 4594.JPG
 132 	     28907     	     21.506901     	20b3dbf2-058a-4b8c-8c1d-202b60da82f6___FREC_Pwd.M 0406.JPG
 133 	     33276     	     9.018512      	20eb5eb7-f33c-4e22-bb64-41656c02f1ae___FREC_Pwd.M 4986.JPG
 134 	     35451     	     5.178979      	21b85757-b8ee-4165-9380-ebeade7f3ab7___FREC_Pwd.M 4978.JPG
 135 	     24999     	     11.676467     	21c25748-40c8-4d89-82fb-45c0607b2bd1___FREC_Pwd.M 4890.JPG
 136 	     33560     	     9.913588      	21f36453-b011-4ac8-8156-2876561b154c___FREC_Pwd.M 0424.JPG
 137 	     40318     	     13.492733     	220722bd-e1c2-4c24-98a3-030e93663161___FREC_Pwd.M 4990.JPG
 138 	     53571     	     15.000653     	22259775-b4b5-4e64-a56f-b2be4260346d___FREC_Pwd.M 5133.JPG
 139 	     25111     	     22.173549     	226bc7bb-e0ba-4c98-b7f6-cef16129a3d8___FREC_Pwd.M 4883.JPG
 140 	     34401     	     3.139444      	22e426ba-5abc-4c1c-85fb-00a603b378f7___FREC_Pwd.M 0560.JPG
 141 	     34815     	     4.650294      	22e84a9b-127f-440a-81eb-620c907c6166___FREC_Pwd.M 0363.JPG
 142 	     28291     	     6.691174      	22f57320-eb78-472e-ba00-716f3385ddeb___FREC_Pwd.M 4844.JPG
 143 	     35291     	     6.256553      	230895ef-e471-4e5a-bde2-38b53729f3ee___FREC_Pwd.M 4598.JPG
 144 	     49351     	     10.411137     	233b15f8-3605-4c36-884f-a5689e202c75___FREC_Pwd.M 5135.JPG
 145 	     37923     	     15.932284     	23572444-7b88-4f2d-8178-d825b8d3f939___FREC_Pwd.M 0591.JPG
 146 	     21462     	     17.519337     	236cbbdd-72dd-4bf6-84ac-a26f5599804f___FREC_Pwd.M 4521.JPG
 147 	     37502     	     4.199776      	2379a24b-53be-4b4d-84bd-e16bce210f16___FREC_Pwd.M 0360.JPG
 148 	     34027     	     12.901519     	23e08ad8-dc78-4b12-bb24-8fb2eec6065d___FREC_Pwd.M 4827.JPG
 149 	     33713     	     3.070032      	240240b2-ab73-4831-bd3b-da01d626f346___FREC_Pwd.M 0373.JPG
 150 	     24167     	     8.809534      	2455344b-ad0b-4798-9e85-a80392d79d95___FREC_Pwd.M 4728.JPG
 151 	     30803     	     28.471253     	245733d5-60d3-4db2-8843-134b973b6e6b___FREC_Pwd.M 4665.JPG
 152 	     33309     	     5.671140      	24933275-9337-474d-b6ce-c372b58dbc7f___FREC_Pwd.M 0430.JPG
 153 	     31378     	     30.980305     	24b87765-3573-429f-a05f-0c969276b18f___FREC_Pwd.M 0405.JPG
 154 	     33829     	     8.173461      	24eed179-7de3-4add-9af2-773fb4641fd3___FREC_Pwd.M 4626.JPG
 155 	     34805     	     3.907485      	25369852-ce99-4d86-8b53-6b7553f91aac___FREC_Pwd.M 4564.JPG
 156 	     33267     	     5.047044      	2590bd2f-bef8-4dea-9835-d0740aef6778___FREC_Pwd.M 4514.JPG
 157 	     27874     	     15.336873     	25d7583a-4dee-4848-abb9-43029421ec3d___FREC_Pwd.M 4951.JPG
 158 	     29938     	     78.736055     	261f74c4-437a-49a1-8039-a04f6ee6e986___FREC_Pwd.M 4819.JPG
 159 	     35836     	     2.773747      	262d3414-831c-40a9-bb5b-727985e6d271___FREC_Pwd.M 0573.JPG
 160 	     27743     	     17.481887     	26cdf0b5-906d-4341-a07b-d8d9ec21cda7___FREC_Pwd.M 5151.JPG
 161 	     34393     	     6.021574      	26dc2692-b056-4e8b-99c5-05ebd249718a___FREC_Pwd.M 4578.JPG
 162 	     28728     	     6.015038      	26f784f0-b392-4075-9865-055e845e9170___FREC_Pwd.M 4473.JPG
 163 	     24329     	     22.002548     	26fb02d8-2009-475e-8a92-ec576e757205___FREC_Pwd.M 4736.JPG
 164 	     27212     	     21.769807     	2802cffd-4801-4479-a0a1-c403c5e021df___FREC_Pwd.M 5154.JPG
 165 	     29629     	     9.507577      	28dbfc6e-d023-40e6-aa85-8164fd960707___FREC_Pwd.M 4719.JPG
 166 	     28270     	     14.761231     	29533f16-ecd8-4813-9aef-183c0caff693___FREC_Pwd.M 4855.JPG
 167 	     22155     	     24.563304     	298721d3-169b-46d0-bf19-c54f7c07e0c9___FREC_Pwd.M 5148.JPG
 168 	     30132     	     12.239480     	2a47f1fa-4127-4f76-b1d3-00651dc680f1___FREC_Pwd.M 4848.JPG
 169 	     36668     	     3.681684      	2a4aa38d-38dc-4e3d-8584-e248d9f1349d___FREC_Pwd.M 0502.JPG
 170 	     29711     	     21.113392     	2ab4a5c8-c899-4dc2-978a-606b63030047___FREC_Pwd.M 0457.JPG
 171 	     33305     	     6.851824      	2ad49112-96a3-42df-a00f-72df73f8efaa___FREC_Pwd.M 4610.JPG
 172 	     34705     	     3.607549      	2b040db3-7f12-4ade-b589-083f94472572___FREC_Pwd.M 0435.JPG
 173 	     34503     	     18.363621     	2b1b73ab-346e-4a2d-94b2-c17aaffaed3d___FREC_Pwd.M 4749.JPG
 174 	     35354     	     13.916389     	2b249264-7b72-4e2d-98b1-5cf889e9d3c2___FREC_Pwd.M 4991.JPG
 175 	     22781     	     24.195602     	2b433e05-810e-447c-92b6-023779814127___FREC_Pwd.M 4966.JPG
 176 	     23223     	     9.253757      	2b4e1ad2-bea7-450b-9d25-35700becc958___FREC_Pwd.M 4805.JPG
 177 	     36255     	     19.078748     	2b61ad8d-5292-4ac0-aced-1c295a38e2d0___FREC_Pwd.M 0427.JPG
 178 	     28733     	     71.440504     	2b80f0a1-6e46-44ab-b87f-313cdf377280___FREC_Pwd.M 4822.JPG
 179 	     37250     	     5.497987      	2b9d11fa-aa07-4aa7-b4e7-eef5d6c20b4b___FREC_Pwd.M 4757.JPG
 180 	     28748     	     75.170447     	2bcdc570-6ff7-4a62-8424-0a1c44e22fdb___FREC_Pwd.M 4818.JPG
 181 	     35458     	     14.659597     	2c45c7d5-235f-49ff-ba53-f65456d933ec___FREC_Pwd.M 0428.JPG
 182 	     30724     	     21.322093     	2c972b35-2f4c-4658-ac84-3bb1af7a746d___FREC_Pwd.M 4660.JPG
 183 	     29998     	     15.167678     	2c9735ee-ac5b-4312-8956-beadb239456f___FREC_Pwd.M 4527.JPG
 184 	     17493     	     84.925399     	2c9a1c22-8603-4181-aa14-78ff3b683380___FREC_Pwd.M 5113.JPG
 185 	     38049     	     14.005624     	2d356a28-26fe-45e9-8f3d-d65c7a5be236___FREC_Pwd.M 0420.JPG
 186 	     34405     	     12.617352     	2d3bb91c-e8c9-4c1f-8823-645c3eaf9ec5___FREC_Pwd.M 4544.JPG
 187 	     32449     	     7.202071      	2d3d785e-5f8b-4d57-b78a-998f030edd9d___FREC_Pwd.M 4908.JPG
 188 	     27784     	     9.685430      	2d6e93fc-445f-449c-a5f8-c16afaf73e3e___FREC_Pwd.M 4969.JPG
 189 	     31967     	     6.835174      	2d9f4080-ce6a-44d4-8a51-1f3cd2be4570___FREC_Pwd.M 0490.JPG
 190 	     37350     	     23.534137     	2dcb0928-493c-48c4-ac4f-3606f35564b8___FREC_Pwd.M 5005.JPG
 191 	     24972     	     8.697741      	2e013069-b7c5-4fa1-a425-4a8ec53f6e07___FREC_Pwd.M 4886.JPG
 192 	     35111     	     2.793996      	2e819085-5262-4a14-989b-e21480ba948a___FREC_Pwd.M 0499.JPG
 193 	     26070     	     6.079785      	2e83ac75-fc6d-4c88-b62f-474e244e6944___FREC_Pwd.M 4481.JPG
 194 	     36288     	     12.508267     	2eb1542f-217e-488e-853c-3fe8f3044e10___FREC_Pwd.M 4998.JPG
 195 	     33763     	     5.008441      	2edb2db6-cf09-435a-a6cf-0be88fa6a433___FREC_Pwd.M 0300.JPG
 196 	     38176     	     28.384325     	2efa6588-be35-4f92-b347-e42056d1b98a___FREC_Pwd.M 5003.JPG
 197 	     8950      	     90.670391     	2f2fdc52-8420-41d1-ab72-320a99c27537___FREC_Pwd.M 5101.JPG
 198 	     33024     	     4.315044      	2f32bc53-9b0c-44e4-be95-e7fadfdda078___FREC_Pwd.M 4502.JPG
 199 	     21634     	     12.988814     	3060a921-5f6b-4d36-b208-4a68bccbb5de___FREC_Pwd.M 4729.JPG
 200 	     34640     	     13.669169     	30ba2ad1-d339-44c8-a41f-5798b867600a___FREC_Pwd.M 5020.JPG
 201 	     36655     	     18.376756     	30c6065a-983d-4bba-bce7-5ae0e9bce60c___FREC_Pwd.M 4676.JPG
 202 	     31209     	     7.122945      	30e77fa2-3d3d-4ae4-aa44-f8f877f420af___FREC_Pwd.M 0592.JPG
 203 	     51731     	     15.114728     	30f5084a-f9c5-4ba0-839f-c000a0ad0608___FREC_Pwd.M 5131.JPG
 204 	     32301     	     24.695830     	312f2fb1-f0f5-414c-9b3d-eccacf0d2129___FREC_Pwd.M 0403.JPG
 205 	     29551     	     16.730398     	316828ef-b126-4db2-a7d7-91723dff4f53___FREC_Pwd.M 4549.JPG
 206 	     38400     	     10.398438     	31a54a72-3f8a-4b00-b283-7b8b20d72234___FREC_Pwd.M 4685.JPG
 207 	     14241     	     50.902324     	31e0b236-bd92-4020-976d-520cdff0e28b___FREC_Pwd.M 5066.JPG
 208 	     34118     	     16.076558     	31f275aa-0701-4a56-b9df-16e5ee852b4a___FREC_Pwd.M 4674.JPG
 209 	     27634     	     21.223855     	3206d163-a96f-4a2f-b497-3da3c1c79c6f___FREC_Pwd.M 4534.JPG
 210 	     32790     	     21.088747     	3241ea49-4272-490b-95d5-6797a3aea739___FREC_Pwd.M 0408.JPG
 211 	     29568     	     6.882440      	324c0529-3992-4015-91f2-1f8c8b87940f___FREC_Pwd.M 0323.JPG
 212 	     28153     	     5.494974      	327470f8-b708-4976-b2fa-873da3ef6b39___FREC_Pwd.M 0319.JPG
 213 	     31831     	     11.966322     	328041cc-6302-4d95-8160-f976e6e61426___FREC_Pwd.M 0257.JPG
 214 	     32845     	     4.487745      	32caa2e2-5e11-4c70-be6c-118f3599b910___FREC_Pwd.M 4901.JPG
 215 	     32864     	     7.406280      	32f9b09e-963a-4724-99cc-d4b4adff9914___FREC_Pwd.M 0317.JPG
 216 	     32204     	     20.603031     	3334bbce-5987-4c52-b2e1-105dab961167___FREC_Pwd.M 4994.JPG
 217 	     33626     	     3.848213      	339f6950-ae1f-4907-aaf1-ef0652c8756e___FREC_Pwd.M 0530.JPG
 218 	     36297     	     3.212387      	341d8850-26e0-4ac5-a560-da2be3fc4b24___FREC_Pwd.M 0349.JPG
 219 	     30993     	     14.887233     	34689f90-5a67-4241-a9ef-631279bde67a___FREC_Pwd.M 4543.JPG
 220 	     25946     	     15.362676     	3494b335-17d6-437c-9bd2-cf43202f8576___FREC_Pwd.M 4903.JPG
 221 	     31669     	     4.881746      	34db0ad3-64b1-4369-a52f-04641800a4c9___FREC_Pwd.M 0316.JPG
 222 	     21865     	     16.569861     	34ef9fe3-385a-49a0-981d-483175edfcd1___FREC_Pwd.M 5161.JPG
 223 	     33822     	     15.395305     	3531b280-cdf5-4983-b83e-21259674d575___FREC_Pwd.M 4907.JPG
 224 	     29856     	     3.664255      	3566fc56-22cf-4401-9dfe-5a8f0072bf04___FREC_Pwd.M 0491.JPG
 225 	     12509     	     79.398833     	356ef788-2518-4519-8df0-c92c41cb8249___FREC_Pwd.M 5104.JPG
 226 	     35610     	     7.761865      	3578c9a5-57d9-4ed9-bfec-d9f889742827___FREC_Pwd.M 4635.JPG
 227 	     30076     	     10.832558     	35a85e44-5398-4e77-928f-f268246c62f4___FREC_Pwd.M 4788.JPG
